id_invoice;cabang;kota;tipe_customer;jenis_kelamin;kategori_produk;harga_satuan;jumlah;pajak_5_persen;tanggal;waktu;metode_pembayaran;total_penjualan_sebelum_pajak;persentase_gross_margin;pendapatan_kotor;rating
803-83-5989;Banjarbaru;Banjarbaru;Member;Female;Body Care;55.73;6;16.719;2/24/2019;10:55:00;Ewallet;334.38;4.761.904.762;16.719;7
347-34-2234;Martapura;Martapura;Member;Female;Hair Care;55.07;9;247.815;02/03/2019;13:40:00;Ewallet;495.63;4.761.904.762;247.815;10
199-75-8169;Banjarmasin;Banjarmasin;Member;Female;Hair Care;15.81;10;7.905;03/06/2019;12:27:00;Credit card;158.1;4.761.904.762;7.905;8.6
853-23-2453;Martapura;Martapura;Member;Female;Skincare;75.74;4;15.148;2/14/2019;14:35:00;Cash;302.96;4.761.904.762;15.148;7.6
877-22-3308;Banjarmasin;Banjarmasin;Member;Female;Skincare;15.87;10;7.935;3/13/2019;16:40:00;Cash;158.7;4.761.904.762;7.935;5.8
838-78-4295;Banjarbaru;Banjarbaru;Member;Female;Skincare;33.47;2;3.347;02/10/2019;15:43:00;Ewallet;66.94;4.761.904.762;3.347;6.7
109-28-2512;Martapura;Martapura;Member;Female;Beauty Tools;97.61;6;29.283;01/07/2019;15:01:00;Ewallet;585.66;4.761.904.762;29.283;9.9
232-11-3025;Banjarmasin;Banjarmasin;Member;Female;Hair Care;78.77;10;39.385;1/24/2019;10:04:00;Cash;787.7;4.761.904.762;39.385;6.4
382-03-4532;Banjarmasin;Banjarmasin;Member;Female;Skincare;18.33;1;9.165;02/02/2019;18:50:00;Cash;18.33;4.761.904.762;9.165;4.3
393-65-2792;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;89.48;10;44.74;01/06/2019;12:46:00;Credit card;894.8;4.761.904.762;44.74;9.6
796-12-2025;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;62.12;10;31.06;02/11/2019;16:19:00;Cash;621.2;4.761.904.762;31.06;5.9
510-95-6347;Martapura;Martapura;Member;Female;Fragrance / Parfum;48.52;3;7.278;03/05/2019;18:17:00;Ewallet;145.56;4.761.904.762;7.278;4
841-35-6630;Banjarbaru;Banjarbaru;Member;Female;Make Up;75.91;6;22.773;03/09/2019;18:21:00;Cash;455.46;4.761.904.762;22.773;8.7
287-21-9091;Banjarmasin;Banjarmasin;Member;Female;Body Care;74.67;9;336.015;1/22/2019;10:55:00;Ewallet;672.03;4.761.904.762;336.015;9.4
732-94-0499;Banjarbaru;Banjarbaru;Member;Female;Make Up;41.65;10;20.825;1/13/2019;17:04:00;Credit card;416.5;4.761.904.762;20.825;5.4
263-10-3913;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;49.04;9;22.068;01/09/2019;14:20:00;Credit card;441.36;4.761.904.762;22.068;8.6
381-20-0914;Banjarmasin;Banjarmasin;Member;Female;Beauty Tools;20.01;9;91.945;01/12/2019;15:48:00;Credit card;180.09;4.761.904.762;91.945;5.7
829-49-1914;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;78.31;10;39.155;03/05/2019;16:24:00;Ewallet;783.1;4.761.904.762;39.155;6.6
756-01-7507;Banjarbaru;Banjarbaru;Member;Female;Skincare;20.38;5;5.095;1/22/2019;18:56:00;Cash;101.9;4.761.904.762;5.095;6
870-72-4431;Banjarbaru;Banjarbaru;Member;Female;Skincare;99.19;6;29.757;1/21/2019;14:42:00;Credit card;595.14;4.761.904.762;29.757;5.5
847-38-7188;Martapura;Martapura;Member;Female;Fragrance / Parfum;96.68;3;14.502;1/26/2019;19:56:00;Ewallet;290.04;4.761.904.762;14.502;6.4
480-63-2856;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;19.25;8;7.7;1/23/2019;18:37:00;Ewallet;154;4.761.904.762;7.7;6.6
787-56-0757;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;80.36;4;16.072;2/23/2019;18:45:00;Credit card;321.44;4.761.904.762;16.072;8.3
360-39-5055;Banjarbaru;Banjarbaru;Member;Female;Hair Care;48.91;5;122.275;03/09/2019;10:17:00;Cash;244.55;4.761.904.762;122.275;6.6
730-50-9884;Banjarbaru;Banjarbaru;Member;Female;Hair Care;83.06;7;29.071;03/05/2019;14:31:00;Ewallet;581.42;4.761.904.762;29.071;4
362-58-8315;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;76.52;5;19.13;3/25/2019;10:23:00;Cash;382.6;4.761.904.762;19.13;9.9
633-44-8566;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;49.38;7;17.283;3/27/2019;20:35:00;Credit card;345.66;4.761.904.762;17.283;7.3
504-35-8843;Banjarmasin;Banjarmasin;Member;Female;Hair Care;42.47;1;21.235;01/02/2019;16:57:00;Cash;42.47;4.761.904.762;21.235;5.7
318-68-5053;Martapura;Martapura;Member;Female;Skincare;76.99;6;23.097;2/27/2019;17:55:00;Cash;461.94;4.761.904.762;23.097;6.1
565-80-5980;Banjarbaru;Banjarbaru;Member;Female;Body Care;47.38;4;9.476;1/23/2019;10:25:00;Cash;189.52;4.761.904.762;9.476;7.1
225-32-0908;Banjarbaru;Banjarbaru;Member;Female;Hair Care;44.86;10;22.43;1/26/2019;19:54:00;Ewallet;448.6;4.761.904.762;22.43;8.2
873-51-0671;Banjarmasin;Banjarmasin;Member;Female;Hair Care;21.98;7;7.693;01/10/2019;16:42:00;Ewallet;153.86;4.761.904.762;7.693;5.1
152-08-9985;Martapura;Martapura;Member;Female;Skincare;64.36;9;28.962;03/12/2019;12:09:00;Credit card;579.24;4.761.904.762;28.962;8.6
512-91-0811;Banjarbaru;Banjarbaru;Member;Female;Skincare;89.75;1;44.875;02/06/2019;20:05:00;Credit card;89.75;4.761.904.762;44.875;6.6
594-34-4444;Banjarmasin;Banjarmasin;Member;Female;Make Up;97.16;1;4.858;03/08/2019;20:38:00;Ewallet;97.16;4.761.904.762;4.858;7.2
766-85-7061;Martapura;Martapura;Member;Female;Skincare;87.87;10;43.935;3/29/2019;10:25:00;Ewallet;878.7;4.761.904.762;43.935;5.1
871-39-9221;Banjarbaru;Banjarbaru;Member;Female;Make Up;12.45;6;3.735;02/09/2019;13:11:00;Cash;74.7;4.761.904.762;3.735;4.1
865-92-6136;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;52.75;3;79.125;3/23/2019;10:16:00;Ewallet;158.25;4.761.904.762;79.125;9.3
733-01-9107;Martapura;Martapura;Member;Female;Body Care;82.7;6;24.81;03/05/2019;18:14:00;Cash;496.2;4.761.904.762;24.81;7.4
163-56-7055;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;48.71;1;24.355;3/26/2019;19:20:00;Cash;48.71;4.761.904.762;24.355;4.1
189-98-2939;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;78.55;9;353.475;03/01/2019;13:22:00;Cash;706.95;4.761.904.762;353.475;7.2
551-21-3069;Banjarbaru;Banjarbaru;Member;Female;Make Up;23.07;9;103.815;02/01/2019;11:27:00;Cash;207.63;4.761.904.762;103.815;4.9
212-62-1842;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;58.26;6;17.478;3/28/2019;16:44:00;Cash;349.56;4.761.904.762;17.478;9.9
716-39-1409;Martapura;Martapura;Member;Female;Skincare;30.35;7;106.225;3/19/2019;18:19:00;Cash;212.45;4.761.904.762;106.225;8
704-48-3927;Banjarmasin;Banjarmasin;Member;Female;Make Up;88.67;10;44.335;01/12/2019;14:50:00;Ewallet;886.7;4.761.904.762;44.335;7.3
628-34-3388;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;27.38;6;8.214;01/05/2019;20:54:00;Credit card;164.28;4.761.904.762;8.214;7.9
630-74-5166;Banjarmasin;Banjarmasin;Member;Female;Hair Care;62.13;6;18.639;3/22/2019;20:19:00;Cash;372.78;4.761.904.762;18.639;7.4
588-01-7461;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;33.98;9;15.291;3/24/2019;10:43:00;Cash;305.82;4.761.904.762;15.291;4.2
861-77-0145;Banjarbaru;Banjarbaru;Member;Female;Make Up;81.97;10;40.985;03/03/2019;14:30:00;Cash;819.7;4.761.904.762;40.985;9.2
479-26-8945;Martapura;Martapura;Member;Female;Hair Care;16.49;2;1.649;02/05/2019;11:32:00;Ewallet;32.98;4.761.904.762;1.649;4.6
210-67-5886;Banjarbaru;Banjarbaru;Member;Female;Skincare;98.21;3;147.315;02/05/2019;10:41:00;Credit card;294.63;4.761.904.762;147.315;7.8
227-78-1148;Martapura;Martapura;Member;Female;Beauty Tools;72.84;7;25.494;2/15/2019;12:44:00;Cash;509.88;4.761.904.762;25.494;8.4
645-44-1170;Banjarmasin;Banjarmasin;Member;Female;Body Care;58.07;9;261.315;1/19/2019;20:07:00;Ewallet;522.63;4.761.904.762;261.315;4.3
237-01-6122;Banjarbaru;Banjarbaru;Member;Female;Body Care;80.79;9;363.555;02/01/2019;20:31:00;Credit card;727.11;4.761.904.762;363.555;9.5
225-98-1496;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;27.02;3;4.053;03/02/2019;13:01:00;Credit card;81.06;4.761.904.762;4.053;7.1
291-32-1427;Martapura;Martapura;Member;Female;Beauty Tools;21.94;5;5.485;03/05/2019;12:29:00;Ewallet;109.7;4.761.904.762;5.485;5.3
659-65-8956;Martapura;Martapura;Member;Female;Beauty Tools;51.36;1;2.568;1/16/2019;15:26:00;Ewallet;51.36;4.761.904.762;2.568;5.2
642-32-2990;Banjarmasin;Banjarmasin;Member;Female;Fragrance / Parfum;10.96;10;5.48;02/02/2019;20:48:00;Ewallet;109.6;4.761.904.762;5.48;6
378-24-2715;Martapura;Martapura;Member;Female;Body Care;53.44;2;5.344;1/20/2019;20:38:00;Ewallet;106.88;4.761.904.762;5.344;4.1
638-60-7125;Banjarmasin;Banjarmasin;Member;Female;Make Up;99.56;8;39.824;2/14/2019;17:03:00;Credit card;796.48;4.761.904.762;39.824;5.2
659-36-1684;Banjarbaru;Banjarbaru;Member;Female;Hair Care;57.12;7;19.992;01/12/2019;12:02:00;Credit card;399.84;4.761.904.762;19.992;6.5
219-22-9386;Martapura;Martapura;Member;Female;Hair Care;99.96;9;44.982;03/09/2019;17:26:00;Credit card;899.64;4.761.904.762;44.982;4.2
336-78-2147;Banjarbaru;Banjarbaru;Member;Female;Body Care;63.91;8;25.564;3/13/2019;19:52:00;Credit card;511.28;4.761.904.762;25.564;4.6
268-27-6179;Martapura;Martapura;Member;Female;Beauty Tools;56.47;8;22.588;03/09/2019;14:57:00;Ewallet;451.76;4.761.904.762;22.588;7.3
668-90-8900;Banjarmasin;Banjarmasin;Member;Female;Body Care;93.69;7;327.915;03/10/2019;18:44:00;Credit card;655.83;4.761.904.762;327.915;4.5
870-54-3162;Banjarmasin;Banjarmasin;Member;Female;Hair Care;32.25;5;80.625;1/27/2019;13:26:00;Cash;161.25;4.761.904.762;80.625;9
189-08-9157;Banjarbaru;Banjarbaru;Member;Female;Beauty Tools;31.73;9;142.785;01/08/2019;16:17:00;Credit card;285.57;4.761.904.762;142.785;5.9
663-86-9076;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;68.54;8;27.416;01/08/2019;15:57:00;Ewallet;548.32;4.761.904.762;27.416;8.5
549-84-7482;Martapura;Martapura;Member;Female;Hair Care;90.28;9;40.626;02/08/2019;11:15:00;Ewallet;812.52;4.761.904.762;40.626;7.2
191-10-6171;Martapura;Martapura;Normal;Female;Beauty Tools;39.62;7;13.867;1/25/2019;13:18:00;Cash;277.34;4.761.904.762;13.867;7.5
802-70-5316;Banjarmasin;Banjarmasin;Member;Female;Hair Care;92.13;6;27.639;03/06/2019;20:34:00;Cash;552.78;4.761.904.762;27.639;8.3
695-51-0018;Martapura;Martapura;Normal;Female;Hair Care;34.84;4;6.968;02/10/2019;18:36:00;Cash;139.36;4.761.904.762;6.968;7.4
590-83-4591;Martapura;Martapura;Member;Female;Make Up;87.45;6;26.235;2/17/2019;14:40:00;Credit card;524.7;4.761.904.762;26.235;8.8
483-71-1164;Banjarbaru;Banjarbaru;Normal;Female;Skincare;81.3;6;24.39;03/08/2019;16:43:00;Ewallet;487.8;4.761.904.762;24.39;5.3
597-78-7908;Banjarbaru;Banjarbaru;Normal;Female;Beauty Tools;90.22;3;13.533;2/18/2019;19:39:00;Cash;270.66;4.761.904.762;13.533;6.2
700-81-1757;Banjarmasin;Banjarmasin;Normal;Female;Make Up;26.31;5;65.775;1/18/2019;20:59:00;Credit card;131.55;4.761.904.762;65.775;8.8
354-39-5160;Banjarmasin;Banjarmasin;Member;Female;Body Care;34.42;6;10.326;2/18/2019;15:39:00;Cash;206.52;4.761.904.762;10.326;9.8
241-72-9525;Martapura;Martapura;Normal;Female;Hair Care;51.91;10;25.955;2/16/2019;12:21:00;Cash;519.1;4.761.904.762;25.955;8.2
575-30-8091;Banjarmasin;Banjarmasin;Normal;Female;Hair Care;72.5;8;29;3/16/2019;19:25:00;Ewallet;580;4.761.904.762;29;9.2
731-81-9469;Banjarbaru;Banjarbaru;Member;Female;Hair Care;89.8;10;44.9;1/23/2019;13:00:00;Credit card;898;4.761.904.762;44.9;5.4
280-17-4359;Banjarbaru;Banjarbaru;Member;Male;Skincare;90.5;10;45.25;1/25/2019;13:48:00;Cash;905;4.761.904.762;45.25;8.1
338-65-2210;Banjarbaru;Banjarbaru;Member;Female;Skincare;68.6;10;34.3;02/05/2019;19:57:00;Cash;686;4.761.904.762;34.3;9.1
488-25-4221;Banjarbaru;Banjarbaru;Member;Female;Fragrance / Parfum;30.41;1;15.205;2/22/2019;10:36:00;Credit card;30.41;4.761.904.762;15.205;8.4
239-10-7476;Banjarmasin;Banjarmasin;Normal;Female;Body Care;77.95;6;23.385;1/21/2019;16:37:00;Ewallet;467.7;4.761.904.762;23.385;8
458-41-1477;Banjarbaru;Banjarbaru;Normal;Female;Skincare;46.26;6;13.878;03/08/2019;17:11:00;Credit card;277.56;4.761.904.762;13.878;9.5
685-64-1609;Banjarmasin;Banjarmasin;Member;Female;Beauty Tools;30.14;10;15.07;02/10/2019;12:28:00;Ewallet;301.4;4.761.904.762;15.07;9.2
568-90-5112;Banjarbaru;Banjarbaru;Normal;Male;Skincare;66.14;4;13.228;3/19/2019;12:46:00;Credit card;264.56;4.761.904.762;13.228;5.6
262-47-2794;Martapura;Martapura;Member;Male;Body Care;71.86;8;28.744;03/06/2019;15:07:00;Credit card;574.88;4.761.904.762;28.744;6.2
238-49-0436;Banjarmasin;Banjarmasin;Normal;Male;Skincare;32.46;8;12.984;3/27/2019;13:48:00;Credit card;259.68;4.761.904.762;12.984;4.9
608-96-3517;Martapura;Martapura;Member;Female;Beauty Tools;91.54;4;18.308;3/23/2019;19:20:00;Credit card;366.16;4.761.904.762;18.308;4.8
584-86-7256;Banjarbaru;Banjarbaru;Member;Male;Hair Care;34.56;7;12.096;03/11/2019;16:07:00;Credit card;241.92;4.761.904.762;12.096;7.3
746-94-0204;Banjarmasin;Banjarmasin;Normal;Male;Beauty Tools;83.24;9;37.458;1/29/2019;11:56:00;Credit card;749.16;4.761.904.762;37.458;7.4
214-17-6927;Banjarbaru;Banjarbaru;Normal;Female;Fragrance / Parfum;16.48;6;4.944;02/07/2019;18:23:00;Ewallet;98.88;4.761.904.762;4.944;9.9
400-89-4171;Banjarbaru;Banjarbaru;Normal;Female;Hair Care;80.97;8;32.388;1/28/2019;13:05:00;Cash;647.76;4.761.904.762;32.388;9.3
782-95-9291;Banjarmasin;Banjarmasin;Member;Male;Fragrance / Parfum;92.29;5;230.725;2/20/2019;15:55:00;Credit card;461.45;4.761.904.762;230.725;9
279-74-2924;Martapura;Martapura;Member;Male;Make Up;72.17;1;36.085;01/04/2019;19:40:00;Cash;72.17;4.761.904.762;36.085;6.1
307-85-2293;Martapura;Martapura;Normal;Male;Body Care;50.28;5;12.57;03/07/2019;13:58:00;Ewallet;251.4;4.761.904.762;12.57;9.7
743-04-1105;Martapura;Martapura;Member;Male;Skincare;97.22;9;43.749;3/30/2019;14:43:00;Ewallet;874.98;4.761.904.762;43.749;6
423-57-2993;Martapura;Martapura;Normal;Male;Hair Care;93.39;6;28.017;3/27/2019;19:18:00;Ewallet;560.34;4.761.904.762;28.017;10
894-41-5205;Banjarbaru;Banjarbaru;Normal;Female;Fragrance / Parfum;43.18;8;17.272;1/19/2019;19:39:00;Credit card;345.44;4.761.904.762;17.272;8.3
275-28-0149;Banjarmasin;Banjarmasin;Normal;Male;Hair Care;63.69;1;31.845;2/25/2019;16:21:00;Cash;63.69;4.761.904.762;31.845;6
101-17-6199;Banjarmasin;Banjarmasin;Normal;Male;Fragrance / Parfum;45.79;7;160.265;3/13/2019;19:44:00;Credit card;320.53;4.761.904.762;160.265;7
423-80-0988;Banjarbaru;Banjarbaru;Normal;Male;Hair Care;76.4;2;7.64;1/30/2019;19:42:00;Ewallet;152.8;4.761.904.762;7.64;6.5
548-46-9322;Martapura;Martapura;Normal;Male;Fragrance / Parfum;39.9;10;19.95;2/20/2019;15:24:00;Credit card;399;4.761.904.762;19.95;5.9
505-02-0892;Martapura;Martapura;Member;Male;Skincare;42.57;8;17.028;2/25/2019;14:12:00;Ewallet;340.56;4.761.904.762;17.028;5.6
234-65-2137;Banjarbaru;Banjarbaru;Normal;Male;Body Care;95.58;10;47.79;1/16/2019;13:32:00;Cash;955.8;4.761.904.762;47.79;4.8
687-47-8271;Banjarmasin;Banjarmasin;Normal;Male;Beauty Tools;98.98;10;49.49;02/08/2019;16:20:00;Credit card;989.8;4.761.904.762;49.49;8.7
